id,label
165511009,Differential white blood cell count procedure (procedure)
103014001,Cervical nerve root pain (finding)
165813002,Human immunodeficiency virus antibody test (procedure)
165816005,Human immunodeficiency virus positive (finding)
103016004,Lumbosacral nerve root pain (finding)
103020000,Adrenarche (finding)
103021001,Premature adrenarche (finding)
103069003,Vitamin B and/or vitamin B derivative (substance)
103089002,Cancer antigen 50 (substance)
167202006,Xylose absorption test (procedure)
103228002,Hemoglobin saturation with oxygen (observable entity)
168172001,Sweat test (procedure)
10327003,Cocaine-induced mood disorder (disorder)
168836005,Barium enema (procedure)
168854009,Cystogram (procedure)
168864000,Urethrogram (procedure)
103324002,Patient visit for (contextual qualifier) (qualifier value)
168908004,Knee arthrogram (procedure)
168917004,Sacroiliac joint arthrogram (procedure)
169066007,Computed tomography of skull (procedure)
169067003,Computed tomography of face (procedure)
10335000,Chronic right-sided heart failure (disorder)
169278002,Spectrometry (procedure)
169280008,Infrared spectrometry (procedure)
169443000,Preventive procedure (procedure)
169740003,Infant feeding method (observable entity)
169741004,Breast fed (finding)
169811007,Birth detail (observable entity)
169826009,Single live birth (finding)
169827000,Single stillbirth (finding)
169828005,Twins - both live born (finding)
103423009,Coccobacilli (organism)
169876006,Birth head circumference (observable entity)
169886007,Birth length (observable entity)
169952004,Placental finding (finding)
170099002,Child examination - birth (procedure)
171012002,Pre-pregnancy education (procedure)
171071003,Foreign travel education (procedure)
171121004,Human immunodeficiency virus screening (procedure)
171125008,Bacterial disease screening (procedure)
171131006,Meningocele (disorder)
171149006,Screening for malignant neoplasm of cervix (procedure)
171224000,Risk factors present at heart disease screening (observable entity)
171233003,Genitourinary disease screening (procedure)
171343002,Driving-related medical examination (procedure)
171350003,Road traffic accident injury examination (procedure)
171358005,Diving medical examination (procedure)
171367005,Travel examination (procedure)
171371008,Fitness to travel examination (procedure)
171394009,Armed forces medical examination (procedure)
171397002,Medical examination for suspected condition (procedure)
171400006,Examination for suspected tuberculosis (procedure)
171401005,Examination for work accident (procedure)
171405001,Examination for suspected cardiovascular disease (procedure)
171408004,Medicolegal examination (procedure)
171409007,Individual health examination (procedure)
171410002,Individual general health examination (procedure)
171413000,Health examination of sub-group (procedure)
171472002,Drainage of abscess of brain tissue (procedure)
171496007,Removal of neurostimulator electrode from brain tissue (procedure)
171560006,Cranial nerve procedure (procedure)
10362008,Accessory spleen (disorder)
103629003,Deposition of crystalline material (morphologic abnormality)
171947007,Transcranial hypophysectomy (procedure)
171948002,Transsphenoidal hypophysectomy (procedure)
172069000,Congenital meningocele (disorder)
103693007,Diagnostic procedure (procedure)
103695000,Preparation of medical certificate (procedure)
103696004,Patient referral to specialist (procedure)
103712006,Manipulation of catheter (procedure)
103715008,Removal of catheter (procedure)
103735009,Palliative care (regime/therapy)
103736005,"History and physical examination, sports participation (procedure)"
103739003,"History and physical examination, occupation (procedure)"
172801000,Operation on nasal turbinate (procedure)
103742009,Renewal of prescription (procedure)
172859007,Bowel imaging (procedure)
173006001,Implantation of artificial voicebox into larynx (procedure)
173170008,Bilobectomy of lung (procedure)
173171007,Lobectomy of lung (procedure)
173291009,Simple extraction of tooth (procedure)
173300003,Disorder of pregnancy (disorder)
103800002,Coagulation factor assay (procedure)
10380004,Crushing injury of finger (disorder)
103806008,Factor X inhibitor assay (procedure)
103816000,Fibrin fragments assay (procedure)
103830005,Plasminogen activator inhibitor type 1 assay (procedure)
103853006,Reptilase time (procedure)
173830003,Gastric lavage (procedure)
173841001,Gastric ulcer operation (procedure)
103863003,Blood group typing A>1< (procedure)
174080004,Right hemicolectomy and end to end anastomosis of ileum to colon (procedure)
103886005,"Blood typing, red blood cell antigens from MNS system (International Society of Blood Transfusion 002) (procedure)"
103894003,"Blood typing, red blood cell antigens from P system (International Society of Blood Transfusion 003) (procedure)"
103895002,"Blood typing, red blood cell antigens from Lutheran system (International Society of Blood Transfusion 005) (procedure)"
103899008,"Blood typing, red blood cell antigens from Kell system (International Society of Blood Transfusion 006) (procedure)"
103906009,"Blood typing, red blood cell antigens from Lewis system (International Society of Blood Transfusion 007) (procedure)"
103910007,"Blood typing, red blood cell antigens from Duffy system (International Society of Blood Transfusion 008) (procedure)"
103913009,"Blood typing, red blood cell antigens from Kidd system (International Society of Blood Transfusion 009) (procedure)"
10392004,Injury of abdominal aorta (disorder)
174511002,Acute fibrinous pericarditis (disorder)
103932003,"Blood typing, red blood cell antigens from Hh system (International Society of Blood Transfusion 018) (procedure)"
10394003,Friedreich's ataxia (disorder)
174776001,Total splenectomy (procedure)
103969000,Erythrocyte antibody concentration measurement (procedure)
10399008,Hypochloremia (disorder)
175176000,Acute genitourinary disorder (disorder)
175212004,Ligation of ductus arteriosus (procedure)
175253007,Repair of pulmonary artery (procedure)
175615007,Insertion of iliac artery stent (procedure)
175898006,Kidney operation (procedure)
104113002,"Cell count, peritoneal fluid (procedure)"
104115009,"White blood cell count, automated, peritoneal fluid (procedure)"
104116005,"Neutrophil count, automated, peritoneal fluid (procedure)"
104130000,"Peripheral blood smear examination, light microscopy (procedure)"
104133003,Erythrocyte mean corpuscular volume determination (procedure)
176481007,Excision of cyst of epididymis (procedure)
176498007,Operation on varicocele (procedure)
176499004,Embolization of varicocele (procedure)
104144006,Determination of hemoglobin subtype (procedure)
176589007,Excision of Bartholin's gland (procedure)
176593001,Excision of lesion of Bartholin's gland (procedure)
176599002,Partial vulvectomy (procedure)
104157003,Light microscopy (procedure)
104172004,Organism specific culture (procedure)
176795006,Subtotal abdominal hysterectomy (procedure)
176820000,Curettage of uterus (procedure)
104176001,Mycoplasma culture (procedure)
104178000,Bacterial culture (procedure)
104190003,Source specific culture (procedure)
176994003,Endoscopic freeing of adhesions of fallopian tube (procedure)
177010002,Chronic infectious disease (disorder)
177047002,Endoscopic freeing of adhesions of ovary (procedure)
177418003,Ruptured cyst (morphologic abnormality)
104270000,Cold agglutinin screen (procedure)
177737006,Incision of nail (procedure)
104276006,Measurement of Borrelia species antibody (procedure)
104277002,Measurement of Borrelia burgdorferi antibody (procedure)
104279004,Measurement of Brucella species antibody (procedure)
104280001,Measurement of Campylobacter species antibody (procedure)
104281002,Measurement of Chlamydia antibody (procedure)
104284005,Measurement of Francisella tularensis antibody (procedure)
104285006,Measurement of Helicobacter pylori antibody (procedure)
104286007,Measurement of Haemophilus influenzae antibody (procedure)
104287003,Measurement of Legionella species antibody (procedure)
104288008,Measurement of Leptospira species antibody (procedure)
104291008,Measurement of Mycoplasma species antibody (procedure)
104294000,Measurement of Salmonella species antibody (procedure)
104297007,Measurement of Yersinia species antibody (procedure)
104301003,Measurement of helminth antibody (procedure)
104303000,Measurement of Leishmania species antibody (procedure)
104305007,Measurement of Toxoplasma species antibody (procedure)
104307004,Measurement of Trichinella species antibody (procedure)
104308009,Serologic test for Toxoplasma gondii (procedure)
104311005,Measurement of adenovirus antibody (procedure)
178124003,Repair of bursa (procedure)
104314002,Measurement of Saint Louis encephalitis virus antibody (procedure)
178156005,Repair of tendo achilles (procedure)
178157001,Repair of quadriceps tendon (procedure)
104316000,Measurement of enterovirus antibody (procedure)
104318004,Measurement of Human T-lymphotropic virus 2 antibody (procedure)
104325006,Measurement of Measles virus antibody (procedure)
104328008,Antibody to mitochondria measurement (procedure)
178280004,Postnatal infection (disorder)
104332002,Human immunodeficiency virus p24 antigen test (procedure)
178485006,Sagittal split mandibular osteotomy (procedure)
178517008,Primary excision of cervical intervertebral disc (procedure)
178530009,Revision excision of cervical intervertebral disc (procedure)
178534000,Revision anterior excision cervical disc and fusion (procedure)
178583001,Primary decompression of cervical spine (procedure)
178600005,Primary decompression of lumbar spine (procedure)
104380004,Allergen specific antibody measurement (procedure)
104381000,Allergen specific immunoglobulin E antibody measurement (procedure)
104387001,Allergen specific immunoglobulin G antibody measurement (procedure)
104390007,Anti-thyroid antibody measurement (procedure)
104399008,Acetylcholine receptor blocking antibody measurement (procedure)
104401002,Antibody to myelin measurement (procedure)
179029002,Primary open reduction of fracture and internal fixation with cerclage wiring (procedure)
104409000,Leukocyte phagocytosis test (procedure)
179109001,Primary wire fixation of fracture (procedure)
104416004,Human leukocyte antigen DP serotyping (procedure)
104417008,"Immunoassay, qualitative, multiple step method (procedure)"
179229008,Removal of spinal fixation system (procedure)
10446001,Aspergilloma (disorder)
104471003,Adenosine deaminase measurement (procedure)
104485008,"Albumin measurement, serum (procedure)"
179856001,Open irrigation of joint (procedure)
180016001,Amputation of phalanx of finger (procedure)
180030006,Amputation of the foot (procedure)
180047007,Excision of lesion of amputation stump (procedure)
10451007,Double aortic arch (disorder)
180234006,Infectious disorder of the peripheral nervous system (disorder)
104530006,Apolipoproteins A measurement (procedure)
104531005,Apolipoproteins B measurement (procedure)
180289009,Application of plaster cast (procedure)
180325003,Direct current cardioversion (procedure)
104568008,Carbonyl hemoglobin measurement (procedure)
104613001,Creatine kinase MB isoenzyme measurement (procedure)
104630004,Deoxyhemoglobin measurement (procedure)
104649000,Enolase measurement (procedure)
104660009,Folic acid measurement (procedure)
181768009,Structure of lymphatic tissue (body structure)
10469003,Chronic hypokalemia (disorder)
104692005,Glucose-6-phosphate dehydrogenase measurement (procedure)
104713006,Glycoproteins measurement (procedure)
104714000,Glycosaminoglycans measurement (procedure)
182159002,Disseminated tuberculosis (disorder)
104739009,17-hydroxycorticosteroid measurement (procedure)
104749007,Indole measurement (procedure)
182353008,Side (qualifier value)
104765008,17-Ketosteroids measurement (procedure)
104772009,Lactate/pyruvate ratio measurement (procedure)
182750009,Ultrafiltration (procedure)
182793009,Neurological monitoring regime (regime/therapy)
104798003,Lysozyme measurement (procedure)
104830002,Niacin measurement (procedure)
104848006,"Oxyhemoglobin, total measurement (procedure)"
183515008,Referral to physician (procedure)
183529009,Referral to oncologist (procedure)
183541002,Referral to surgeon (procedure)
183543004,Referral to ophthalmology service (procedure)
183561008,Referral to general practitioner (procedure)
104889009,Pregnenolone measurement (procedure)
10491005,Herpes zoster with meningitis (disorder)
104923007,Riboflavin measurement (procedure)
184099003,Date of birth (observable entity)
104936007,Somatomedin measurement (procedure)
184216000,Patient record type (record artifact)
184598004,Needle biopsy of brain (procedure)
104980007,Transcobalamin I measurement (procedure)
104986001,Transthyretin measurement (procedure)
104988000,Triacylglycerol lipase measurement (procedure)
105011006,Blood urea nitrogen measurement (procedure)
185086009,Chronic obstructive bronchitis (disorder)
185113005,Tuberculosis of adrenal glands (disorder)
105030006,Vitamin K measurement (procedure)
185283008,Seen by social worker (finding)
185303007,Seen by podiatrist (finding)
185324002,Failed encounter (finding)
10509002,Acute bronchitis (disorder)
185973002,Patient awaiting investigation (finding)
105134000,Clomipramine measurement (procedure)
186178000,Tuberculosis of bronchus (disorder)
186270000,Tuberculous Addison's disease (disorder)
105200005,Glipizide measurement (procedure)
186648008,Repair of intestine (procedure)
186658007,Coxsackie virus disease (disorder)
105205000,Hydrochlorothiazide measurement (procedure)
186659004,Herpangina (disorder)
105213004,Imipramine measurement (procedure)
186747009,Coronavirus infection (disorder)
186748004,Parvovirus infection (disorder)
105247001,Midazolam measurement (procedure)
187033005,Hepatitis C virus measurement (procedure)
187065008,Cutaneous blastomycosis (disorder)
187091009,Systemic cryptococcosis (disorder)
187100003,Rhinocerebral mucormycosis (disorder)
105263009,Nordazepam measurement (procedure)
187115002,Cutaneous schistosomiasis (disorder)
105294009,Phenobarbital measurement (procedure)
105309008,Promazine measurement (procedure)
187692001,Malignant tumor of nasopharynx (disorder)
10533008,Land vehicle (physical object)
105332007,Teicoplanin measurement (procedure)
105350000,Trimethoprim measurement (procedure)
187921002,Developmental receptive language disorder (disorder)
1054002,Incision of sphincter of Oddi (procedure)
188361007,Malignant neoplasm of thorax (disorder)
105418006,Dissatisfaction with school environment (finding)
188557000,Large pupil (finding)
188725004,Lymphoid leukemia (disorder)
188732008,Myeloid leukemia (disorder)
105461009,Organ donor (person)
105462002,Donor of kidney for transplant (person)
105463007,Donor for liver transplant (person)
105464001,Eye donor for corneal transplant (person)
105481005,Refusing food (finding)
105483008,Overprotective parent (finding)
105488004,Difficulty with parents (finding)
105490003,Overwork (finding)
189176002,Infectious disease of genitourinary system (disorder)
1055001,Stenosis of precerebral artery (disorder)
105501005,Dependence on enabling machine or device (finding)
105510002,Social discord (finding)
105513000,Problem with neighbors (finding)
105514006,Discord in the workplace (finding)
105515007,Discord in school (finding)
189336000,Carcinoma in situ of breast (disorder)
105518009,Discord with classmates (finding)
10552002,Calcification of lung (disorder)
105551000,Criminal life style (life style)
105552007,Sexual offender (life style)
105593004,Electrolyte imbalance (disorder)
105597003,Blindness AND/OR vision impairment level (disorder)
105599000,Anemia related to disturbed deoxyribonucleic acid synthesis (disorder)
105600002,Disorder of neutrophils (disorder)
105602005,Quantitative abnormality of granulocytes (disorder)
105603000,Non-malignant lymphocyte AND/OR plasma cell disorder (disorder)
105606008,Injury of musculoskeletal system (disorder)
105615001,Open wound of trunk (disorder)
105616000,Open wound of limb (disorder)
105630005,Disease caused by Poxviridae (disorder)
105631009,Disease caused by Paramyxoviridae (disorder)
105633007,Disease caused by Picornaviridae (disorder)
105634001,Disease caused by Reoviridae (disorder)
105635000,Disease caused by Retroviridae (disorder)
105637008,Disease caused by Endamoebidae (disorder)
105638003,Disease caused by Balantidiidae (disorder)
105640008,Disease caused by Monocercomonadidae (disorder)
105641007,Disease caused by Eimeriidae (disorder)
105642000,Disease caused by Sarcocystidae (disorder)
105648001,Disease caused by Trichomonadidae (disorder)
105654000,Disease caused by Cryptosporidiidae (disorder)
105655004,Disease caused by Trypanosomatidae (disorder)
105658002,Disease caused by ciliate protozoa (disorder)
105661001,Disease caused by Schistosomatidae (disorder)
190268003,Congenital hypothyroidism (disorder)
190293001,Acute thyroiditis (disorder)
105680004,Disease caused by cestodes of order Cyclophyllidea (disorder)
105682007,Disease caused by Hymenolepididae (disorder)
190459003,Cyst of parathyroid (disorder)
105683002,Disease caused by Taeniidae (disorder)
190502001,Pituitary-dependent Cushing's disease (disorder)
190507007,Primary hyperaldosteronism (disorder)
105694003,Disease caused by superfamily Ancylostomatoidea (disorder)
105695002,Disease caused by superfamily Protostrongyloidea (disorder)
105697005,Disease caused by superfamily Heterocheiloidea (disorder)
105702001,Disease caused by superfamily Oxyuroidea (disorder)
190633005,Folic acid deficiency (disorder)
190634004,Cobalamin deficiency (disorder)
105706003,Disease caused by superfamily Filarioidea (disorder)
190656001,Dietary calcium deficiency (disorder)
105709005,Disease caused by superfamily Rhabdiasoidea (disorder)
190745006,Galactosemia (disorder)
190749000,Glucose-galactose malabsorption (disorder)
105719004,Body disability AND/OR failure state (finding)
105721009,General problem AND/OR complaint (finding)
190785000,Hypoalphalipoproteinemia (disorder)
105723007,Body temperature finding (finding)
190794006,Glucosylceramide beta-glucosidase deficiency (disorder)
105724001,Disease related state (finding)
105726004,Age AND/OR growth finding (finding)
190818004,Waldenström macroglobulinemia (disorder)
105729006,"Finding of health perception, health management pattern (finding)"
10573002,Infection of amniotic cavity (disorder)
190905008,Cystic fibrosis (disorder)
190981001,Selective immunoglobulin G deficiency (disorder)
191265009,Anemia in neoplastic disease (disorder)
105784003,"Life support equipment, device (physical object)"
191322006,Thrombocytopenia caused by drugs (disorder)
105788000,"Probe/sound/bougie/airway, device (physical object)"
105789008,"Cannula/tube/catheter, device (physical object)"
191527001,Simple schizophrenia (disorder)
191542003,Catatonic schizophrenia (disorder)
191659001,Atypical depressive disorder (disorder)
191713008,Dissociative tremor (disorder)
191736004,Obsessive-compulsive disorder (disorder)
191765005,Emotionally unstable personality disorder (disorder)
191928000,Abuse of antidepressant drug (disorder)
191956005,Psychogenic hyperventilation (finding)
10586006,Occupation-related stress disorder (disorder)
192008004,Reversed sleep-wake cycle (disorder)
192041001,Acute situational disturbance (disorder)
192099000,Childhood disorder of conduct and emotion (disorder)
192454004,Nonorganic insomnia (disorder)
192496000,Non-organic enduring personality change (finding)
192562009,Disorder of psychological development (disorder)
192616009,Childhood or adolescent disorder of social functioning (disorder)
192644005,Meningococcal meningitis (disorder)
192686004,Polioencephalitis (disorder)
192701001,Toxoplasma encephalitis (disorder)
192727001,Post-infectious encephalitis (disorder)
192759008,Cerebral venous sinus thrombosis (disorder)
192805000,Acquired communicating hydrocephalus (disorder)
192877007,Paraneoplastic cerebellar degeneration (disorder)
193000002,Temporal lobe epilepsy (disorder)
105972009,Disorder of maxillary sinus (disorder)
105973004,Disorder of frontal sinus (disorder)
105974005,Disorder of ethmoidal sinus (disorder)
105975006,Disorder of sphenoidal sinus (disorder)
193064009,Cerebrospinal fluid leak from spinal puncture (disorder)
105980002,Disease affecting entire cardiovascular system (disorder)
105981003,Disorder of cardiac function (disorder)
105986008,Congenital skeletal dysplasia (disorder)
193148004,Plantar nerve lesion (disorder)
105994001,Regional congenital anomaly (disorder)
105995000,Disorder of teeth AND/OR supporting structures (disorder)
193198003,Superimposed infection (disorder)
105997008,Disorder of biliary tract (disorder)
106000008,Metabolic renal disease (disorder)
193237003,Myotonic disorder (disorder)
106007006,Maternal AND/OR fetal condition affecting labor AND/OR delivery (disorder)
106008001,Delivery AND/OR maternal condition affecting management (disorder)
106009009,Fetal condition affecting obstetrical care of mother (disorder)
106010004,Pelvic dystocia AND/OR uterine disorder (disorder)
10601006,Pain in lower limb (finding)
106018006,Hereditary degenerative disease of central nervous system (disorder)
106020009,Finding of activity exercise pattern (finding)
106022001,Finding of cognitive perceptual pattern (finding)
106023006,"Finding of self perception, self concept pattern (finding)"
193570009,Cataract (disorder)
106049001,Respiratory rate AND/OR rhythm finding (finding)
193683001,Color blindness (disorder)
106064001,Cardiovascular pressure AND/OR pulse finding (finding)
106070007,Cardiac auscultation finding (finding)
106073009,"Electrocardiogram wave, interval AND/OR segment (observable entity)"
106100005,Lower urinary tract finding (finding)
106102002,Abnormal urinary product (finding)
106104001,Female reproductive finding (finding)
106106004,Male reproductive finding (finding)
106126000,Emotional state finding (finding)
106129007,Motor function behavior finding (finding)
106131003,Mood finding (finding)
106133000,Language finding (finding)
194240006,Acute non-suppurative otitis media - serous (disorder)
106134006,Perception AND/OR perception disturbance (finding)
194281003,Acute suppurative otitis media (disorder)
194287004,Recurrent acute otitis media (disorder)
106139001,Personality AND/OR personality trait (finding)
106143002,Sexuality related problem (finding)
106145009,Motor nervous system finding (finding)
106147001,Sensory nervous system finding (finding)
106150003,Cranial nerve finding (finding)
106155008,Fifth cranial nerve finding (finding)
106157000,Seventh cranial nerve finding (finding)
106159002,Ninth cranial nerve finding (finding)
106165002,Finding related to cerebral function (finding)
106167005,Consciousness related finding (finding)
106169008,"Aphasia, agnosia, dyslexia AND/OR apraxia (finding)"
106170009,Dyslexia AND/OR speech dysfunction (finding)
106182000,Immune system finding (finding)
10619002,Megaloblastic anemia due to poor nutrition (disorder)
194849004,Generalized ischemic myocardial dysfunction (disorder)
194856005,Subsequent myocardial infarction (disorder)
106205006,Hemostasis related substance (substance)
194883006,Postoperative pulmonary embolus (disorder)
195002007,Multiple valve disease (disorder)
195069001,Paroxysmal atrial tachycardia (disorder)
195070000,Paroxysmal atrioventricular tachycardia (disorder)
106233006,Topographical modifier (qualifier value)
106234000,General adjectival modifier (qualifier value)
195275000,Common iliac aneurysm (disorder)
195382003,Spider nevus (disorder)
195469007,Anal skin tag (disorder)
10629009,Tetany (disorder)
195662009,Acute viral pharyngitis (disorder)
195677001,Recurrent acute tonsillitis (disorder)
195867000,Cyst of larynx (disorder)
195889001,Legionella pneumonia (disorder)
195911009,Chickenpox pneumonia (disorder)
195951007,Acute exacerbation of chronic obstructive airways disease (disorder)
196398003,Midline deviation of dental arch (disorder)
196452003,Non-odontogenic developmental cyst of jaw (disorder)
196491008,Abscess of parotid gland (disorder)
196499005,Parotid sialolithiasis (disorder)
196546001,Cyst of oral soft tissue (disorder)
196623008,Esophageal erosions (disorder)
196682000,Acute peptic ulcer (disorder)
196707000,Acute gastrojejunal ulcer (disorder)
196884002,Obstruction co-occurrent and due to incisional hernia (disorder)
196903009,Obstructed diaphragmatic hernia (disorder)
197078006,Acute intestinal obstruction (disorder)
197084009,Diverticulosis of jejunum (finding)
197151007,Acute anal fissure (disorder)
197152000,Chronic anal fissure (disorder)
10649000,Hyperpituitarism (disorder)
197180003,Male pelvic abscess (disorder)
197197009,Colonic adhesions (disorder)
197247001,Enterocutaneous fistula (disorder)
197250003,Colonic fistula (disorder)
197270009,Acute hepatic failure (disorder)
197284004,Chronic active hepatitis (disorder)
197321007,Steatosis of liver (disorder)
197352008,Toxic hepatitis (disorder)
197441003,Primary sclerosing cholangitis (disorder)
197442005,Secondary sclerosing cholangitis (disorder)
197456007,Acute pancreatitis (disorder)
197480006,Anxiety disorder (disorder)
106544002,Family Enterobacteriaceae (organism)
106556001,Order Mucorales (organism)
197811007,Vesicoureteric reflux (disorder)
106567000,Form family Cryptococcaceae (organism)
197834003,Chronic interstitial cystitis (disorder)
106568005,Form class Hyphomycetes (organism)
106569002,Form family Moniliaceae (organism)
106570001,Form family Dematiaceae (organism)
106571002,Form family Tuberculariaceae (organism)
197861003,Vesicosigmoidal fistula (disorder)
197870000,Acontractile detrusor (disorder)
197871001,Hypotonic bladder (disorder)
106575006,Phylum Zoomastigina (organism)
106576007,Order Kinetoplastida (organism)
106579000,Family Trypanosomatidae (organism)
106583000,Family Hexamitidae (organism)
106584006,Order Trichomonadida (organism)
106585007,Family Monocercomonadidae (organism)
106598003,Family Entamoebidae (organism)
198100003,Acute non-puerperal mastitis (disorder)
106605004,Class Sporozoea - subclass coccidia (organism)
198328003,Malposition of uterus (disorder)
198436008,Menopausal flushing (finding)
106651003,Order Rhabditida (organism)
106652005,Superfamily Rhabdiasoidea (organism)
106668004,Order Spirurida (organism)
106670008,Superfamily Thelazioidea (organism)
106672000,Superfamily Filarioidea (organism)
106687005,Subclass Digenea - digenetic trematode (organism)
106688000,Order Strigeatida (organism)
106689008,Family Schistosomatidae (organism)
106702005,Order Plagiorchiida (organism)
106703000,Family Dicrocoeliidae (organism)
106724005,Family Taeniidae (organism)
106726007,Family Hymenolepididae (organism)
199612005,Small-for-dates baby (disorder)
10679007,Infection caused by Giardia lamblia (disorder)
199879009,Congenital anomaly of skin (disorder)
200133007,Delivery by combination of forceps and vacuum extractor (finding)
200138003,Vacuum extractor delivery - delivered (finding)
200146002,Cesarean delivery - delivered (finding)
106830004,Subclass Acari (organism)
106847003,Family Sarcoptidae (organism)
106851001,Family Demodicidae (organism)
200619008,Comprehensive interview and evaluation (procedure)
200652002,Cellulitis of face (disorder)
200751004,Abscess of face (disorder)
200936003,Lupus erythematosus (disorder)
200938002,Discoid lupus erythematosus (disorder)
200965009,Plaque psoriasis (disorder)
200973000,Pustular psoriasis (disorder)
201048007,Localized morphea (disorder)
201060008,Disorder of upper respiratory system (disorder)
201067006,Physiological striae (disorder)
201091002,Skin tag (disorder)
201138007,Diffuse alopecia (disorder)
201698009,Hexadactyly (disorder)
1070000,Facial myokymia (finding)
202245003,Recurrent dislocation of knee (disorder)
202310009,Ankylosis of the wrist joint (disorder)
202317007,Knee joint ankylosis (disorder)
202405009,Hemarthrosis of elbow (disorder)
202413005,Hemarthrosis of knee (disorder)
202472008,Hand joint pain (finding)
202478007,Sternoclavicular joint pain (finding)
202479004,Acromioclavicular joint pain (finding)
202480001,Elbow joint pain (finding)
202482009,Wrist joint pain (finding)
202483004,Metacarpophalangeal joint pain (finding)
202664003,Cervical myelopathy (disorder)
202708005,Prolapsed lumbar intervertebral disc (disorder)
202734002,Thoracic disc prolapse with radiculopathy (disorder)
202794004,Lumbago with sciatica (disorder)
202856007,Biceps tendinitis (disorder)
202882003,Plantar fasciitis (disorder)
203019005,Muscle abscess (disorder)
203449003,Pathologic fracture of bone at site of neoplasm (disorder)
203465002,Bone cyst (disorder)
203468000,Aneurysmal bone cyst (disorder)
203681002,Acquired spondylolisthesis (disorder)
204036008,Lissencephaly (disorder)
10725009,Benign hypertension (disorder)
204327002,Radiography of thigh (procedure)
10729003,Smoker's respiratory syndrome (disorder)
204552001,Congenital subglottic stenosis (disorder)
107337000,Family Anguillidae - freshwater eel (organism)
107348007,Family Clupeidae - herring (organism)
204942005,Renal agenesis (disorder)
204984002,Fusion of kidneys (disorder)
204985001,Hyperplasia of kidney (disorder)
205043005,Congenital deformity of spine (disorder)
205237003,Pneumonitis (disorder)
10741005,Lipid storage disease (disorder)
205460009,Accessory rib (disorder)
10743008,Irritable bowel syndrome (disorder)
205720009,Fragile X chromosome (disorder)
